Week,SKU,Region,Demand,Global Status,DNA Collection ,DNA Category ,DNA Sub Category ,DNA Metal ,DNA Material ,DNA Stones ,DNA Color ,DNA Size ,Date Item Introduced,Date Item Discontinue,Design Variation,Campaign Id,Theme Id,Theme Description,Year,Week_Number,Seasonality,Evolving State,Buckets
2021-W21,9557,0,115.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,21,0,1,2
2021-W22,9557,0,140.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,22,0,1,2
2021-W23,9557,0,111.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,23,0,1,2
2021-W24,9557,0,108.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,24,0,1,2
2021-W25,9557,0,113.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,25,1,1,2
2021-W26,9557,0,146.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,26,1,1,2
2021-W27,9557,0,133.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,27,1,1,2
2021-W28,9557,0,125.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,28,0,1,2
2021-W29,9557,0,93.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,29,0,1,2
2021-W3,9557,0,37.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,3,0,1,2
2021-W30,9557,0,141.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,30,0,1,2
2021-W31,9557,0,151.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,31,0,1,2
2021-W32,9557,0,125.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,32,0,1,2
2021-W33,9557,0,105.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,33,0,1,2
2021-W34,9557,0,131.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,34,0,1,2
2021-W35,9557,0,126.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,35,0,1,2
2021-W36,9557,0,113.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,36,0,1,2
2021-W37,9557,0,144.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,37,0,1,2
2021-W38,9557,0,192.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,38,0,1,2
2021-W39,9557,0,148.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,39,0,1,2
2021-W4,9557,0,61.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,4,0,1,2
2021-W40,9557,0,125.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,40,0,1,2
2021-W41,9557,0,90.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,41,0,1,2
2021-W42,9557,0,90.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,42,0,1,2
2021-W43,9557,0,138.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,43,0,1,2
2021-W44,9557,0,97.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,44,0,1,2
2021-W45,9557,0,117.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,45,0,1,2
2021-W46,9557,0,143.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,46,2,1,2
2021-W47,9557,0,439.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,47,2,1,2
2021-W48,9557,0,270.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,48,2,1,2
2021-W49,9557,0,255.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,49,2,1,2
2021-W5,9557,0,105.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,5,1,1,2
2021-W50,9557,0,303.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,50,2,1,2
2021-W51,9557,0,175.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,51,2,1,2
2021-W52,9557,0,240.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,52,2,1,2
2021-W6,9557,0,111.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,6,1,1,2
2021-W7,9557,0,82.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,7,1,1,2
2021-W8,9557,0,49.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,8,0,1,2
2021-W9,9557,0,105.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,9,0,1,2
2022-W1,9557,0,152.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,1,1,1,2
2022-W10,9557,0,120.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,10,0,1,2
2022-W11,9557,0,93.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,11,0,1,2
2022-W12,9557,0,118.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,12,0,1,2
2022-W13,9557,0,141.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,13,0,1,2
2022-W14,9557,0,128.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,14,0,1,2
2022-W15,9557,0,108.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,15,0,1,2
2022-W16,9557,0,142.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,16,0,1,2
2022-W17,9557,0,177.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,17,1,1,2
2022-W18,9557,0,228.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,18,1,1,2
2022-W19,9557,0,92.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,19,1,1,2
2022-W2,9557,0,96.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,2,0,1,2
2022-W20,9557,0,102.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,20,1,1,2
2022-W21,9557,0,109.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,21,0,1,2
2022-W22,9557,0,122.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,22,0,1,2
2022-W23,9557,0,102.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,23,0,1,2
2022-W24,9557,0,95.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,24,0,1,2
2022-W25,9557,0,94.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,25,1,1,2
2022-W26,9557,0,133.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,26,1,1,2
2022-W27,9557,0,117.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,27,1,1,2
2022-W28,9557,0,120.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,28,0,1,2
2022-W29,9557,0,99.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,29,0,1,2
2022-W3,9557,0,92.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,3,0,1,2
2022-W30,9557,0,135.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,30,0,1,2
2022-W31,9557,0,113.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,31,0,1,2
2022-W32,9557,0,99.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,32,0,1,2
2022-W33,9557,0,119.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,33,0,1,2
2022-W34,9557,0,129.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,34,0,1,2
2022-W35,9557,0,100.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,35,0,1,2
2022-W36,9557,0,98.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,36,0,1,2
2022-W37,9557,0,91.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,37,0,1,2
2022-W38,9557,0,98.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,38,0,1,2
2022-W39,9557,0,169.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,39,0,1,2
2022-W4,9557,0,87.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,4,0,1,2
2022-W40,9557,0,103.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,40,0,1,2
2022-W41,9557,0,61.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,41,0,1,2
2022-W42,9557,0,84.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,42,0,1,2
2022-W43,9557,0,103.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,43,0,1,2
2022-W44,9557,0,112.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,44,0,1,2
2022-W45,9557,0,86.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,45,0,1,2
2022-W46,9557,0,101.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,46,2,1,2
2022-W47,9557,0,408.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,47,2,1,2
2022-W48,9557,0,187.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,48,2,1,2
2022-W49,9557,0,188.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,49,2,1,2
2022-W5,9557,0,134.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,5,1,1,2
2022-W50,9557,0,190.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,50,2,1,2
2022-W51,9557,0,200.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,51,2,1,2
2022-W52,9557,0,173.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,52,2,1,2
2022-W6,9557,0,172.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,6,1,1,2
2022-W7,9557,0,109.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,7,1,1,2
2022-W8,9557,0,112.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,8,0,1,2
2022-W9,9557,0,104.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2022,9,0,1,2
2023-W1,9557,0,145.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,1,1,1,2
2023-W10,9557,0,102.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,10,0,1,2
2023-W11,9557,0,99.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,11,0,1,2
2023-W12,9557,0,69.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,12,0,1,2
2023-W13,9557,0,130.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,13,0,1,2
2023-W14,9557,0,126.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,14,0,1,2
2023-W15,9557,0,100.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,15,0,1,2
2023-W16,9557,0,76.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,16,0,1,2
2023-W17,9557,0,88.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,17,1,1,2
2023-W18,9557,0,99.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,18,1,1,2
2023-W19,9557,0,125.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,19,1,1,2
2023-W2,9557,0,108.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,2,0,1,2
2023-W20,9557,0,72.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,20,1,1,2
2023-W21,9557,0,104.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,21,0,1,2
2023-W22,9557,0,113.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,22,0,1,2
2023-W23,9557,0,84.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,23,0,1,2
2023-W24,9557,0,89.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,24,0,1,2
2023-W25,9557,0,84.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,25,1,1,2
2023-W26,9557,0,83.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,26,1,1,2
2023-W27,9557,0,90.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,27,1,1,2
2023-W28,9557,0,72.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,28,0,1,2
2023-W29,9557,0,70.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,29,0,1,2
2023-W3,9557,0,82.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,3,0,1,2
2023-W30,9557,0,128.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2023,30,0,1,2
